ticker,empresa,setor_brapi
SPUB11,Safra ETF Ibovespa Empresas Estatais Fundo de Indice Responsabilidade Limitada,Miscellaneous
NEWL11,Newport Logistica Fundo de Investimento Imobiliario,
GLDX11,Investo ETF Global Agribusiness Fundo de Investimento de Indice,Miscellaneous
PLAS3,Plascar Participacoes Industriais S.A.,Producer Manufacturing
BIDB11,Inter Infra Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrutura Ren Fix Cred Priv,Miscellaneous
IBCR11,Fundo de Investimento Imobiliario de CRI Integral Brei,Miscellaneous
EXES11,Exes Fundo de Investimento Imobiliario,
BXPO11,Investo Marketvector Brazil Global Exposure ETF Fundo de Investimento de Indice,Miscellaneous
TECX11,Bindex ETF Connect China AMC Chinext Fundo De Indice - Responsabilidade Limitada,
MAXR11,Fundo de Investimento Imobiliario - FII Max Retail Cotas,Miscellaneous
SMAB11,BTG Pactual Smll B3 Fundo de Indice,Miscellaneous
DOLB11,BTG Pactual Reference S&P/B3 Cambial Fundo De Indice,
IMBB11,ETF Bradesco Ima-B Fundo de Indice,Miscellaneous
CCTY3,Belora RDVC City Desenvolvimento Imobiliario S.A.,Consumer Durables
EDGA11,Fundo De Investimento Imobiliario - FII Edificio Galeria Responsabilidade Limitada Cotas,Miscellaneous
BGRB11,BGR B32 Fundo de Investimento Imobiliario,
ISET11,Itau Isento Set28 Fundo De Investimento Em Cotas De FII Financeiro Em Infraestrutura RF RL,
FIIB11,Fundo de Investimento Industrial do Brasil Cotas,
HRDF11,Hedge Realty Development Fundo de Investimento Imobiliario,
NSLU11,Fundo de Investimento Imobiliario FII Hospital da Nossa Senhora de Lourdes Responsabilidade Limitada Fund,Miscellaneous
KNRE11,Kinea II Real Estate Equity Fundo de Investimento Imobiliario Cotas,
BOVB11,BOVB - ETF Bradesco IBovespa Fundo De Indice,Miscellaneous
UNIP5,Unipar Carbocloro SA Pfd Class A,Process Industries
CRFF11,Caixa Rio Bravo Fundo De Fundos De Investimento Imobiliario II,Miscellaneous
FLRP11,Hedge Floripa Shopping Fundo de Investimento Imobiliario,Miscellaneous
CASA11,Buena Vista Neos Real Estate High Income Index Fundo de Indice Responsabilidade Limitada,
BNFS11,Banrisul Novas Fronteiras Fundo de Investimento Imobiliario - FII Cotas,
FLMA11,Fundo Invest Imobiliario Continental Square Faria Lima,Miscellaneous
SMRT11,Fundo de Investimento em Cotas de Fundo de Investimento em Direitos Creditorios,
XPID11,XP Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrutura Renda Fixa,Miscellaneous
SPVT11,Safra ETF Ibovespa Empresas Privadas Fundo de Indice Responsabilidade Limitada,Miscellaneous
ELAS11,Safra ETF Mulheres na Lideranca Fundo de Indice de Acoes,Miscellaneous
META11,Hashdex Crypto Metaverse Index Fund,Miscellaneous
CXAG11,Fundo de Investimento Imobiliario Caixa Agencias,Miscellaneous
DIVS11,Sparta Infra Inflacao Longa Infraestrutura Fundo de Investimento em Cotas De Fundos de Investimento em Infraestrutura RF,
SVAL11,Investo ETF S&P Smallcap 600 Value FDI,Miscellaneous
BIZD11,Investo Mvisrus Business Development Companies Index ETF Fundo De Indice,
ENDD11,Endurance Debt Fundo de Investimento em Participacoes em Infraestrutura,
CMDB11,BTG Pactual Teva Acoes Commodities Brasil Fundo de Indice,Miscellaneous
EDFO11,Fundo de Investimento Imobiliario Edificio Ourinvest Cotas,Miscellaneous
BBRC11,BB Renda Corporativa Fundo de Investimento Imobiliario Cotas,
TRXY11,TRX Hedge Fund Fundo de Investimento Imobiliario Responsabilidade Limitada,
RMAI11,Reag Multi Ativos Imobiliarios Fundo de Invest imento Imobiliario,
QQQQ11,Buena Vista V Fundo de Indice Classe Buena Vista Nasdaq-100 High Beta Index Fundo de Indice Responsabilidade Limitada,
RNGO11,Fundo de Investimento Imobiliario Rio Negro - FII Cotas,
MGHT11,Fundo de Investimento Imobiliario Mogno Hoteis,
NAVT11,Navi Imobiliario Total Return Fundos de Investimento Imobiliario,
ABCP11,Fundo de Investimento Imobiliario Grand Plaza Shopping Cotas,
JPPA11,JPP Allocation Mogno - Fundo de Investimento Imobiliario,
RRCI11,RB Capital Recebiveis Imobiliarios Fundo de Investimento Imobiliario,
RCRI11,Real Investor Recebiveis Imobiliarios Fundo de Investimento Imobiliario Responsabilidade Limitada,
JPPC11,JPP Capital Fundo de Investimento Imobiliario - FII Cotas,
ITIP11,Inter Teva Indice de Papel Fundo de Investimento Imobiliario,
HYBR11,Nu iBoxx High Yield Hedge Carry BRL ETF,
SPTW11,SP Downtown Fundo de Investimento Imobiliario - FII Cotas,
YDRO11,IT Now S&P Kensho Hydrogen Fundo de Indice,
TMPS11,Itau Tempus Fundo de Investimento Imobiliario,
LVOL11,NU Ibov Smart Low Volatility B3 Classe De Indice - Responsabilidade,Miscellaneous
APTO11,Navi Residencial Fundo de Investimento Imobiliario,
LSAG11,Leste Fundo de Investimento nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,Miscellaneous
PHIP11,Phronesis Teva Ipca Dynamic Yield Selection Fundo de Indice Responsabilidade Limitada,
TRIG11,ETF Trigono Teva Acoes Micro CAP Small CAP Fundo de Indice,Miscellaneous
HBTS5,Cia Habitasul de Participacoes Pfd A,Finance
JOGO11,Investo ETF Global Video Gaming & Esports Fundo de Investimento de Indice IE,Miscellaneous
AFHF11,AF Invest Real Estate Multiestrategia Fundo de Investimento Imobiliario Responsabilidade Limitada,
PLCA11,Patria Credito Agro Fundo de Investimento nas Cadeias Produtivas do Agronegocio Fiagro Responsabilidade Limitada,
VTLT11,Fundo Investimento Imobiliario Votorantim Logistica,Miscellaneous
TRNT11,Fundo de Investimento Imobiliario - FII Torre Norte Cotas,Miscellaneous
SCPF11,SCP Fundo de Investimento Imobiliario Cotas,Miscellaneous
JFLL11,JFL Living Fundo de Iinvestimento Imobiliario,
PATC11,Patria Edificios Corporativos Fundo Investimento Imobiliario FII,
HGPO11,Patria Prime Offices Fundo de Investimento Imobiliario Responsabilidade Limitada,Miscellaneous
PKIN11,Bindex ETF Connect China Universal CSI 300 Fundo De Indice Responsabilidade Limitada,Miscellaneous
DAMA11,Dama Fundo de Investimento Imobiliario Responsabilidade Limitada,
BDOM11,Investo Marketvector Brazil Domestic Exposure ETF - Fundo de Investimento de Indice,Miscellaneous
FIIP11,Fundo de Investimento Imobiliario RB Capital Renda I Cotas,Miscellaneous
PEAB3,Cia de Participacoes Alianca da Bahia Registered,Finance
GCRI11,Galapagos Recebiveis Imobiliarios Fundo de Investimento Imobiliario,
FIXX11,Buena Vista VII Fundo de Indice Classe Buena Vista Neos Enchanced Income 1-3 Month T-Bill Index Fundo de Indice Resp Lim,
FOMO11,HASHDEX CRYPTO MOMENTUM FUNDO DE INDICE,
PICE11,Patria Infraestrutura Energia Core Fundo de Investimento em Participacoes em Infraestrutura,
BMLC11,Fundo de Investimento BM Brascan Lages Corporativas - FII Cotas,
GCRA11,Galapagos Recebiveis do Agronegocio - Fiagro-Imobiliario,Miscellaneous
GOVE11,IT Now IGCT Fundo De Indice,Miscellaneous
GLOG11,Genial Logistica Fundo de Investimento Imobiliario,
BMMT11,B Index Morningstar Brasil Momento Fundo de Indice,Miscellaneous
CORN11,BB ETF Indice Futuro de Milho B3 Fundo de Indice,Miscellaneous
VSHO11,Fundo De Investimento Imobiliario Votorantim Shopping,
FAED11,Fundo de Investimeno Imobiliario FII Anhanguera Educacional Responsabilidade Limitada,Miscellaneous
ZAGH11,Zagros Multiestrategia Fundo De Investimento Imobiliario,
TIRB11,BTG Pactual Teva Dividendos Ativos Reais Listados Fundo de Indice Responsabilidade Limitada,Miscellaneous
PACG11,BTG Pactual IMA-B Fundo De Indice,
FCFL11,Fundo de Investimento Imobiliario - FII Campus Faria Lima Responsabilidade Limitada Cotas,Miscellaneous
TJKB11,TJK Renda Imobiliaria Fundo de Investimento Imobiliario,
PQDP11,Fundo de Investimento Imobiliario FII Parque Dom Pedro Shopping Center Responsabilidade Limitada,Miscellaneous
ELET5,Centrais Eletricas Brasileiras SA-Eletrobras Pfd A,Utilities
RBOP11,Fundo de Investimento Imobiliario Rio Bravo Oportunidades Imobiliarias FII,
ZAVI11,Zavit Real Estate Fund Fundo de Investimento Imobiliario,
BTAG11,BTG Pactual Credito Agricola Fundo de Investimento em Cotas Fiagro - Direitos Creditorios,Miscellaneous
EBIT11,Empiricus Teva Bitcoin Fundo De Indice - Responsabilidade Limitada,
FVPQ11,Fundo de Investimentos Imobiliario Bamerindus - Via Parque Shopping Cotas,
BCIC11,B Index Morningstar Setores Ciclicos Brasil Fundo de Indice,Miscellaneous
INRD11,Inter Residence Fundo de Investimento Imobiliario FII,
SCVB11,Investo Marketvector Brazil Small Cap Value ETF Fundo de Investimento de Indice,Miscellaneous
HOSI11,Fundo de Investimento Imobiliario Housi,
PACL11,BTG Pactual IMA-B 5+ Fundo de Indice,
MILL11,IT Now Morningstar Us Digital Lifestyle Fundo De Indice.,Miscellaneous
BRIM11,Brio Real Estate II Fundo de Investimento Imobiliario,
PEVC11,Investo BlueStar T10 US List. Alt. Asset Mngr. FII - Invt. NE,Miscellaneous
CXCE11,Fundo de Investimento Imobiliario Caixa Cedae Cotas,Miscellaneous
RICO11,Buena Vista VIII Fundo De Indice,
BDEF11,B Index Morningstar Setores Defensivos Brasil Fundo de Indice,Miscellaneous
HCRI11,Fundo de Investimento Imobiliario FII Hospital da Crianca Responsabilidade Limitada,
LTNB11,BTG Pactual IRF-M P2 Fundo de Indice ETF,Miscellaneous
PLRI11,Polo FII - FII Recebiveis Imobiliarios I Cotas,
BITC11,BTG Pactual Teva Bitcoin Fundo de Indice,
HGBR11,Nu iBoxx Investment Grade Hedge Carry BRL,
OCRE11,Octo Fundo de Investimento Imobiliario,
CTBA11B,Prefeitura Municipal de Curitiba Trust Units Consorciada Linha Verde,Government
HUCG11,Fundo de Investimento Imobiliario Hospital Unimed Campina Grande,Miscellaneous
BREW11,B Index Morningstar Brasil Pesos Iguais Fundo de Indice,Miscellaneous
DAMT11,Diamante Fundo Investimento Imobiliario,
LASC11,Legatus Shoppings Fundo de Investimento Imobiliario,
SEQL11,Sequoia Logistica e Transportes SA Rights 2025-29.09.25 For Convertible Debentures Series 1 Issue 8,Transportation
FRIO3,Metalfrio Solutions S.A.,Producer Manufacturing
BDAP11,BB ETF Indice DAP5 B3 Fundo de Indice,Miscellaneous
XBOV11,Caixa ETF Ibovespa Fundo Indice Cotas,Miscellaneous
PACC11,BTG Pactual IMA-B 5 P2 Fundo De Indice,
BBFI11,Fundo de Investimento Imobiliario BB Progressivo Cotas,Miscellaneous
EURO11,Fundo de Investimento Imobiliario Europar Cotas,Miscellaneous
KOPA11,Kinea Oportunidades Agro I Figaro Imobiliario,
HSRE11,HSI Renda Imobiliaria Fundo de Investimento Imobiliario,
ISCJ11,Invista SCJ Fundo de Investimento Imobiliario FII,
NEWU11,Newport Renda Urbana Fundo de Investimento Imobiliario,
KDOL11,Kinea Agro Income USD Fiagro-Imobiliario,
APXM11,Fundo de Investimento Imobiliario Apex Malls FII,
SJAU11,SJ AU Logistica Fundo de Investimento Imobiliario,Miscellaneous
CIXF11,CIX Retrofit Fundo De Investimento Imobiliario Responsabilidade Limitada,Miscellaneous
ONDV11,Onda Desenvolvimento Imobiliario Fundo De Investimento Imobiliario,
BLOK11,Investo Vaneck ETF MarketVector Smart Contract Leaders,Miscellaneous
AAGR11,Asset Bank Agronegocios Fundo de Investimento nas Cadeias Produtivas Agroindustriais Direitos Creditorios,
FLCR11,Faria Lima Capital Recebiveis Imobiliarios I FII,
DPRO11,Devant Properties Fundo de Investimento Imobiliario,
ECOO11,iShares Indice Carbono Eficiente (ICO2) Brasil Fundo de Indice,Miscellaneous
FMOF11,Fundo De Investimento Imobiliario Memorial Office,Miscellaneous
DBOA11,Oryx Bloomberg US Convertibles Liquid Bond Index Fundo de Indice Responsabilidade Limitada,Miscellaneous
PRSV11,Fundo de Investimento Imobiliario Presidente Vargas,Miscellaneous
CXTL11,Fundo de Investimento Imobiliario TRX Caixa Logistica Renda Cotas,Miscellaneous
SILK11,It Now MSCI China A50 Fundo de Indice Responsabilidade Limitada,
NCRI11,Navi Credito Imobiliario Fundo de Investimento Imobiliario,
BTHI11,XP Hoteis - Fundo de Investimento Imobiliario - FII Shs,Miscellaneous
VVCR11,V2 Recebiveis Imobiliarios Fundo de Investimento Imobiliario,
AGRI11,Agri BB ETF Iagro FFS B3 Fundo de Indice ETF,Miscellaneous
CEOC11,Fundo de Investimento Imobiliario - FII CEO Cyrela Comercial Properties Responsabilidade Limitada Cotas,
CTXT11,Fundo de Investimento Imobiliario Centro Textil Internacional Cotas,
ESGB11,BTG Pactual ESG Fundo de Indice SP Brazil ESG,Miscellaneous
ANCR11,Fundo de Investimento Imobiliario Ancar I C Cotas,
RCFA11,Grupo RCFA Fundo De Investimento Imobiliario,
WPLZ11,Fundo de Investimento Imobiliario Shopping West Plaza Cotas,Miscellaneous
PQAG11,RB Capital Anhanguera Fundo de Investimento Imobiliario,
PABY11,Fundo de Investimento Imobiliario Panamby Cotas,
CJCT11,Cidade Jardim Continental Tower Fundo de Investimento Imobiliario,Miscellaneous
TRXB11,TRX Real Estate II Fundo de Investimento Imobiliario,Miscellaneous
SHPH11,Fundo de Investimento Imobiliario Shopping Patio Higienopolis Cotas,Miscellaneous
BBSD11,BB ETF S&P Dividendos Brasil Fundo de Indice,Miscellaneous
T10R11,It Now SP Tesouro Americano 10 Anos BRL Fundo De Indice Responsabilidade Limitada,
IRIF11,Iridium Infra Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrutura Renda Fixa,
CXRI11,Caixa Rio Bravo Fundo de Fundos de Investimentos Imobiliario - FII Cotas,
BRXC11,Btg Pactual Teva Iabr Selector Fundo De Indice Responsabilidade Limitada,
EWBZ11,Ishares Bovespa BR+ Equal Weight Classe De Indice - Responsabilidade Limitada,
BRFT11,Bradesco Farmtech Fundo de Investimento nas Cadeias Produtivas Agroindustrais Fiagro DC Shs,
INFB11,Drys Fundo de Investimento em Cotas de Fundos Incentivados de Investimento em Infraestrutura Renda Fixa,
HGIC11,HGI Creditos Imobiliarios Fundo de Investimento,
FAMB11,Fundo de Investimento Imobiliario Edificio Almirante Barroso Cotas,Miscellaneous
GCDL11,Galapagos Desenvolvimento Logistico Fundo de Investimento Imobiliario Responsabilidade Limitada,Miscellaneous
NVHO11,Fundo de Investimento Imobiliario Novo Horizonte Cotas,
HCHG11,Hectare Recebiveis High Grade Fundo de Investimento Imobiliario FII,
BTYU11,BTG Pactual You Inc. Desenvolvimento Imobiliario - Fundo De Investimento Imobiliario Responsabilidade Limitada,
ZIFI11,Zion Capital Fundo de Investimento Imobiliario FII,
EMET11,Emet Multiestrategia Fundo De Investimento I Mobiliario Responsabilidade Limitada,
EXIF11,Exes Fic Fi Infraestrutura Renda Fixa Credito Privado Longo Prazo Responsabilidade Limitada,
IBBP11,Invista Brazilian Business Park Fundo De Investimento Imobiliario,
CBOP11,Castello Branco Office Park - Fundo de Investime nto Imobiliario - Responsabilidade Limitada,
VOTS11,Votorantim Securities Master Fundo de Investimento Imobiliario FII,
HUSC11,Fundo de Investimento Imobiliario Hospital Unimed Sul Capixaba,
FZDA11,051 Capital Fundo de Investimento Nas Cadeias Produtivas Agroindustriais Fiagro Imobiliario,
BICE11,Brio Credito Estruturado - Fundo de Investimento Imobiliario,Miscellaneous
FPOR11,Porto Sudeste Royalties Fundo de Investimento em Participacoes em Infraestrutura Cotas A,
BLMO11,Bluemacaw Office Fund II Fundo De Investimento Imobiliario,
EETH11,BTG Pactual Teva Ethereum Fundo de Indice,
BRIP11,Brio Real Estate III Fundo de Iinvestimento Imobiliario,
MAGM11,MAG Multiestrategia Classe De Investimento Imobiliario Responsabilidade Limitada,
BTSG11,BTSP I Fundo de Investimento Imobiliario FII,
PATA11,Patagonia Capital Multiestrategia Fundo de Investimento Imobiliario,Miscellaneous
