GOLL54
FNAM11
BOVA11
BRAV3
SMAL11
AZZA3
IGTI11
MXRF11
GGRC11
GOLD11
NASD11
RBRF11
VGIR11
CPTS11
GARE11
KNSC11
B5P211
ETHE11
XINA11
HASH11
USTK11
VGHF11
DOLA11
FNOR11
QBTC11
MCRE11
BOVV11
SNEL11
SPXR11
RURA11
BBIG11
BTHF11
QSOL11
BOVX11
ALZR11
DEBB11
SNAG11
BODB11
KNIP11
RBVA11
HGBS11
BTCI11
BITH11
RZAG11
MANA11
VGIA11
JSAF11
HFOF11
FGAA11
QETH11
KNCR11
IVVB11
VINO11
SOLH11
XPML11
LFTB11
BBOV11
HSML11
XRPH11
XPCA11
PORD11
KCRE11
DIVO11
OIAG11
KORE11
CPSH11
BTLG11
ISEN11
HCTR11
IRDM11
COIN11
TRXF11
LFTS11
TGAR11
SPXI11
XPSF11
PVBI11
FSRF11
CARE11
RBRR11
CNES11
RBRX11
HGLG11
RBRY11
BRCR11
JURO11
CDII11
KISU11
HREC11
PMLL11
PACB11
IDKA11
SARE11
SNLG11
KNHF11
VGRI11
AJFI11
VRTA11
PCIP11
KNRI11
CYCR11
RECR11
AAZQ11
XPLG11
CACR11
KNCA11
BDIF11
KDIF11
VISC11
VILG11
URPR11
WHGR11
CPTR11
KNUQ11
HGRU11
VIUR11
RZTR11
VCJR11
BRCO11
VSLH11
RBFF11
FIND11
ACWI11
RBRP11
MCCI11
PATL11
USDB11
JSRE11
HGCR11
IAAG11
LIFE11
BITI11
AGRX11
AIEC11
FATN11
KNHY11
XPCI11
KFOF11
WRLD11
CPTI11
XPIE11
RVBI11
ITRI11
LVBI11
VRTM11
ALZC11
DEVA11
DIVD11
COPN11
VCRA11
FYTO11
RZAK11
GPUS11
GTWR11
ARRI11
IMAB11
HGRE11
HABT11
MFII11
AZPL11
VIGT11
IFRI11
VGIP11
WEB311
SPXS11
GZIT11
TECK11
FIXA11
CCME11
SNID11
TRBL11
WDCN3
BPML11
AUVP11
HODL11
QDFI11
BBFO11
SPYI11
JMBI11
BROF11
NTNS11
SVAL11
