ticker,ano,fechamento
BPAC11,2025,42.61
BPAC11,2024,26.65
BPAC11,2023,35.85
BPAC11,2022,22.23
BPAC11,2021,18.91
BPAC11,2020,20.83
BPAC11,2019,16.52
BPAC11,2018,4.96
USIM5,2025,4.0
USIM5,2024,5.32
USIM5,2023,8.98
USIM5,2022,6.6
USIM5,2021,13.26
USIM5,2020,11.8
USIM5,2019,7.61
USIM5,2018,7.27
MRVE3,2025,7.03
MRVE3,2024,5.31
MRVE3,2023,11.23
MRVE3,2022,7.6
MRVE3,2021,11.53
MRVE3,2020,17.92
MRVE3,2019,19.99
MRVE3,2018,11.22
EQTL3,2025,34.71
EQTL3,2024,26.79
EQTL3,2023,34.4
EQTL3,2022,25.66
EQTL3,2021,20.94
EQTL3,2020,20.83
EQTL3,2019,20.24
EQTL3,2018,13.09
STBP3,2025,14.15
STBP3,2024,12.86
STBP3,2023,7.58
STBP3,2022,6.0
STBP3,2021,4.55
STBP3,2020,3.57
STBP3,2019,5.56
STBP3,2018,2.87
LWSA3,2025,3.91
LWSA3,2024,3.28
LWSA3,2023,5.83
LWSA3,2022,6.75
LWSA3,2021,12.66
LWSA3,2020,19.35
LWSA3,2019,
LWSA3,2018,
RDOR3,2025,37.24
RDOR3,2024,25.12
RDOR3,2023,27.75
RDOR3,2022,28.13
RDOR3,2021,42.04
RDOR3,2020,62.62
RDOR3,2019,
RDOR3,2018,
EMBR3,2025,76.98
EMBR3,2024,56.13
EMBR3,2023,22.37
EMBR3,2022,14.3
EMBR3,2021,24.79
EMBR3,2020,8.84
EMBR3,2019,19.71
EMBR3,2018,21.66
MOTV3,2025,13.25
MOTV3,2024,
MOTV3,2023,
MOTV3,2022,
MOTV3,2021,
MOTV3,2020,
MOTV3,2019,
MOTV3,2018,
CSNA3,2025,6.83
CSNA3,2024,8.86
CSNA3,2023,17.75
CSNA3,2022,11.98
CSNA3,2021,17.55
CSNA3,2020,21.47
CSNA3,2019,9.5
CSNA3,2018,5.56
ENEV3,2025,14.0
ENEV3,2024,10.53
ENEV3,2023,13.61
ENEV3,2022,11.93
ENEV3,2021,14.15
ENEV3,2020,15.52
ENEV3,2019,10.92
ENEV3,2018,4.02
POMO4,2025,9.08
POMO4,2024,7.07
POMO4,2023,6.28
POMO4,2022,2.37
POMO4,2021,2.45
POMO4,2020,2.24
POMO4,2019,3.46
POMO4,2018,3.09
ONCO3,2025,3.63
ONCO3,2024,2.34
ONCO3,2023,13.0
ONCO3,2022,6.03
ONCO3,2021,11.25
ONCO3,2020,
ONCO3,2019,
ONCO3,2018,
MOVI3,2025,6.58
MOVI3,2024,3.53
MOVI3,2023,11.35
MOVI3,2022,7.19
MOVI3,2021,13.91
MOVI3,2020,17.69
MOVI3,2019,16.27
MOVI3,2018,7.13
VBBR3,2025,20.61
VBBR3,2024,17.05
VBBR3,2023,20.23
VBBR3,2022,13.28
VBBR3,2021,17.39
VBBR3,2020,16.46
VBBR3,2019,21.44
VBBR3,2018,16.34
HAPV3,2025,36.85
HAPV3,2024,33.45
HAPV3,2023,66.75
HAPV3,2022,76.2
HAPV3,2021,155.7
HAPV3,2020,227.89
HAPV3,2019,189.92
HAPV3,2018,91.95
CEAB3,2025,15.7
CEAB3,2024,7.68
CEAB3,2023,7.47
CEAB3,2022,2.19
CEAB3,2021,5.87
CEAB3,2020,12.3
CEAB3,2019,16.88
CEAB3,2018,
FLRY3,2025,13.9
FLRY3,2024,11.34
FLRY3,2023,16.15
FLRY3,2022,12.84
FLRY3,2021,13.91
FLRY3,2020,20.09
FLRY3,2019,22.17
FLRY3,2018,13.66
ELET3,2025,42.39
ELET3,2024,32.11
ELET3,2023,38.51
ELET3,2022,37.98
ELET3,2021,29.55
ELET3,2020,30.14
ELET3,2019,29.8
ELET3,2018,18.6
GGBR4,2025,15.98
GGBR4,2024,17.75
GGBR4,2023,18.61
GGBR4,2022,20.53
GGBR4,2021,16.74
GGBR4,2020,13.36
GGBR4,2019,10.77
GGBR4,2018,7.83
PRIO3,2025,37.5
PRIO3,2024,40.15
PRIO3,2023,46.05
PRIO3,2022,37.15
PRIO3,2021,20.64
PRIO3,2020,14.02
PRIO3,2019,6.6
PRIO3,2018,1.98
WEGE3,2025,35.91
WEGE3,2024,51.99
WEGE3,2023,35.72
WEGE3,2022,36.68
WEGE3,2021,30.86
WEGE3,2020,35.03
WEGE3,2019,15.9
WEGE3,2018,7.92
MRFG3,2025,22.23
MRFG3,2024,17.03
MRFG3,2023,8.31
MRFG3,2022,7.41
MRFG3,2021,15.37
MRFG3,2020,8.88
MRFG3,2019,6.1
MRFG3,2018,3.34
ALOS3,2025,22.49
ALOS3,2024,17.59
ALOS3,2023,23.93
ALOS3,2022,14.91
ALOS3,2021,18.98
ALOS3,2020,25.35
ALOS3,2019,43.57
ALOS3,2018,
RENT3,2025,32.7
RENT3,2024,31.38
RENT3,2023,59.59
RENT3,2022,48.44
RENT3,2021,47.07
RENT3,2020,60.77
RENT3,2019,41.47
RENT3,2018,24.53
BBDC3,2025,13.56
BBDC3,2024,9.88
BBDC3,2023,13.33
BBDC3,2022,10.84
BBDC3,2021,11.56
BBDC3,2020,15.0
BBDC3,2019,18.68
BBDC3,2018,14.63
VIVT3,2025,34.06
VIVT3,2024,22.39
VIVT3,2023,24.18
VIVT3,2022,16.1
VIVT3,2021,19.89
VIVT3,2020,17.79
VIVT3,2019,17.26
VIVT3,2018,13.66
DIRR3,2025,13.96
DIRR3,2024,6.52
DIRR3,2023,4.38
DIRR3,2022,2.83
DIRR3,2021,2.1
DIRR3,2020,1.85
DIRR3,2019,2.0
DIRR3,2018,0.78
CMIN3,2025,4.78
CMIN3,2024,4.9
CMIN3,2023,7.09
CMIN3,2022,3.24
CMIN3,2021,4.32
CMIN3,2020,
CMIN3,2019,
CMIN3,2018,
TIMS3,2025,22.48
TIMS3,2024,13.42
TIMS3,2023,15.55
TIMS3,2022,9.66
TIMS3,2021,9.77
TIMS3,2020,10.52
TIMS3,2019,10.82
TIMS3,2018,7.87
KLBN11,2025,17.93
KLBN11,2024,22.82
KLBN11,2023,18.66
KLBN11,2022,15.71
KLBN11,2021,18.87
KLBN11,2020,19.17
KLBN11,2019,13.34
KLBN11,2018,10.88
BHIA3,2025,2.84
BHIA3,2024,2.89
BHIA3,2023,11.38
BHIA3,2022,52.5
BHIA3,2021,114.83
BHIA3,2020,353.47
BHIA3,2019,244.32
BHIA3,2018,96.02
SRNA3,2025,12.07
SRNA3,2024,5.5
SRNA3,2023,10.21
SRNA3,2022,9.6
SRNA3,2021,12.65
SRNA3,2020,
SRNA3,2019,
SRNA3,2018,
CPLE6,2025,11.86
CPLE6,2024,9.15
CPLE6,2023,9.92
CPLE6,2022,7.29
CPLE6,2021,5.2
CPLE6,2020,5.08
CPLE6,2019,4.49
CPLE6,2018,1.9
KLBN4,2025,3.59
KLBN4,2024,4.47
KLBN4,2023,3.66
KLBN4,2022,3.13
KLBN4,2021,3.63
KLBN4,2020,3.71
KLBN4,2019,2.53
KLBN4,2018,1.91
BRAV3,2025,18.76
BRAV3,2024,23.52
BRAV3,2023,26.28
BRAV3,2022,37.75
BRAV3,2021,33.55
BRAV3,2020,37.2
BRAV3,2019,
BRAV3,2018,
BRAP4,2025,15.79
BRAP4,2024,15.71
BRAP4,2023,21.99
BRAP4,2022,22.58
BRAP4,2021,16.82
BRAP4,2020,13.84
BRAP4,2019,7.66
BRAP4,2018,5.64
CYRE3,2025,24.48
CYRE3,2024,16.24
CYRE3,2023,22.42
CYRE3,2022,11.58
CYRE3,2021,13.46
CYRE3,2020,24.07
CYRE3,2019,22.82
CYRE3,2018,11.5
BBSE3,2025,31.63
BBSE3,2024,32.2
BBSE3,2023,27.78
BBSE3,2022,25.09
BBSE3,2021,14.35
BBSE3,2020,19.66
BBSE3,2019,23.02
BBSE3,2018,16.03
ECOR3,2025,6.83
ECOR3,2024,4.05
ECOR3,2023,8.76
ECOR3,2022,4.1
ECOR3,2021,6.72
ECOR3,2020,12.13
ECOR3,2019,14.79
ECOR3,2018,8.51
HYPE3,2025,23.24
HYPE3,2024,17.63
HYPE3,2023,33.38
HYPE3,2022,40.91
HYPE3,2021,24.83
HYPE3,2020,28.94
HYPE3,2019,29.09
HYPE3,2018,23.76
IGTI11,2025,22.16
IGTI11,2024,16.68
IGTI11,2023,22.82
IGTI11,2022,16.97
IGTI11,2021,16.49
IGTI11,2020,
IGTI11,2019,
IGTI11,2018,
UGPA3,2025,17.5
UGPA3,2024,15.17
UGPA3,2023,24.72
UGPA3,2022,11.51
UGPA3,2021,12.72
UGPA3,2020,9.23
UGPA3,2019,9.78
UGPA3,2018,9.96
BRFS3,2025,19.87
BRFS3,2024,25.36
BRFS3,2023,13.44
BRFS3,2022,8.06
BRFS3,2021,20.86
BRFS3,2020,20.41
BRFS3,2019,32.6
BRFS3,2018,20.31
GOAU4,2025,8.91
GOAU4,2024,10.01
GOAU4,2023,10.17
GOAU4,2022,10.6
GOAU4,2021,8.36
GOAU4,2020,6.76
GOAU4,2019,5.47
GOAU4,2018,4.0
RAPT4,2025,6.32
RAPT4,2024,9.85
RAPT4,2023,12.31
RAPT4,2022,7.54
RAPT4,2021,9.12
RAPT4,2020,12.84
RAPT4,2019,10.51
RAPT4,2018,7.02
MULT3,2025,26.22
MULT3,2024,20.28
MULT3,2023,26.61
MULT3,2022,19.73
MULT3,2021,16.34
MULT3,2020,20.0
MULT3,2019,27.49
MULT3,2018,19.86
YDUQ3,2025,12.15
YDUQ3,2024,8.22
YDUQ3,2023,21.16
YDUQ3,2022,9.48
YDUQ3,2021,19.03
YDUQ3,2020,29.99
YDUQ3,2019,42.47
YDUQ3,2018,20.86
GRND3,2025,5.16
GRND3,2024,4.51
GRND3,2023,6.09
GRND3,2022,4.39
GRND3,2021,6.08
GRND3,2020,5.34
GRND3,2019,7.64
GRND3,2018,4.91
CXSE3,2025,13.51
CXSE3,2024,13.36
CXSE3,2023,11.27
CXSE3,2022,6.62
CXSE3,2021,6.15
CXSE3,2020,
CXSE3,2019,
CXSE3,2018,
LIGT3,2025,5.97
LIGT3,2024,4.06
LIGT3,2023,8.0
LIGT3,2022,4.63
LIGT3,2021,11.51
LIGT3,2020,22.74
LIGT3,2019,22.23
LIGT3,2018,15.34
CURY3,2025,32.1
CURY3,2024,16.67
CURY3,2023,15.82
CURY3,2022,10.34
CURY3,2021,5.32
CURY3,2020,7.4
CURY3,2019,
CURY3,2018,
TOTS3,2025,41.03
TOTS3,2024,26.54
TOTS3,2023,32.88
TOTS3,2022,26.37
TOTS3,2021,27.25
TOTS3,2020,26.99
TOTS3,2019,20.05
TOTS3,2018,8.33
PSSA3,2025,50.8
PSSA3,2024,35.28
