ticker,empresa,subsetor_b3,tipo,market_cap,logo,preco_atual,p_l,p_vp,payout_ratio,crescimento_preco_5a,roe,divida_total,ebitda,divida_ebitda,perfil_acao,lpa,vpa,margem_seguranca_percent,sentimento_gauge,strong_buy,buy,hold,sell,strong_sell,rsi_14_1y,macd_diff_1y,volume_1y
BBDC4,Banco Bradesco S.A.,Bancos,stock,173654245376,https://icons.brapi.dev/icons/BBDC4.svg,17.71,9.521504,1.0762032,51.09,48.41456157465076,12.3459995,747837849600.0,,,Blue Chip,1.86,16.456,48.18,63.46153846153846,1,7,4,0,1,67.80879492208255,0.05441642709293926,51887400.0
BBAS3,Banco do Brasil S.A.,Bancos,stock,123415404544,https://icons.brapi.dev/icons/BBAS3.svg,21.62,7.776979,0.697712,43.78,91.33279886690191,15.581,1068331958272.0,,,Blue Chip,2.78,30.987,103.63,53.84615384615385,1,2,9,0,1,55.47906423902044,0.04348564862776516,49988600.0
PETR4,Petróleo Brasileiro S.A. - Petrobras,"Petróleo, Gás e Biocombustíveis",stock,419822665728,https://icons.brapi.dev/icons/PETR4.svg,31.06,5.46831,5.472163,65.419996,401.65636027095087,18.483,68064002048.0,33190748160.0,2.0506920097097323,Blue Chip,5.68,5.676,-13.29,76.92307692307692,4,6,3,0,0,50.55832595943212,0.030932100504495852,48871300.0
AZUL4,Azul S.A.,Transporte e Logística,stock,1256954368,https://icons.brapi.dev/icons/AZUL4.svg,1.36,,-0.048264604,,-94.76923071421109,,35082772480.0,2693093888.0,13.026939995045579,Micro Cap,-10.24,-28.178,,35.0,0,0,3,1,1,67.4643499655611,0.02923803888736004,45112900.0
CSAN3,Cosan S.A.,"Petróleo, Gás e Biocombustíveis",stock,13942773760,https://icons.brapi.dev/icons/CSAN3.svg,7.5,,1.9384854,,-54.22942162520613,-25.155002,66775937024.0,12846945280.0,5.197806604497345,Mid Cap,-6.41,3.869,,70.45454545454545,2,5,4,0,0,63.24290977209597,0.07925884806769412,42305100.0
B3SA3,"B3 S.A. - Brasil, Bolsa, Balcão",Serviços Financeiros Diversos,stock,70602702848,https://icons.brapi.dev/icons/B3SA3.svg,13.66,15.177778,3.5966296,32.75,-13.012911467864164,24.775,14993871872.0,6536744960.0,2.2937826033830757,Blue Chip,0.9,3.798,-35.8,67.85714285714286,3,4,7,0,0,61.91014204940398,0.09031405232454648,41804900.0
ITSA4,Itaúsa S.A.,Serviços Financeiros Diversos,stock,125371998208,https://icons.brapi.dev/icons/ITSA4.svg,11.42,8.215828,1.382232,63.080000000000005,128.0494593443192,17.228001000000003,12675999744.0,1847000064.0,6.863020738909947,Blue Chip,1.39,8.262,40.76,82.14285714285714,2,5,0,0,0,67.20016635127635,0.01481257827913851,40118600.0
ABEV3,Ambev S.A.,Alimentos e Bebidas,stock,195683188736,https://icons.brapi.dev/icons/ABEV3.svg,12.55,13.351064,2.1160007,98.65,27.055087077669924,16.048999,3157764096.0,27305668608.0,0.1156450018248167,Blue Chip,0.94,5.931,-10.76,54.166666666666664,2,3,10,2,1,53.951205822786655,0.05995578938314833,35447400.0
MRFG3,Marfrig Global Foods S.A.,Alimentos e Bebidas,stock,18483476480,https://icons.brapi.dev/icons/MRFG3.svg,22.14,13.582822,6.5213547,173.52,118.86683305801515,12.0170005,66303942656.0,11297482752.0,5.868912934986528,Mid Cap,1.63,3.395,-49.6,69.23076923076923,3,4,6,0,0,40.64906470669652,-0.008056237385160703,28882700.0
BRFS3,BRF S.A.,Alimentos e Bebidas,stock,30393241600,https://icons.brapi.dev/icons/BRFS3.svg,18.97,8.622726,1.8035748,32.0,-0.17825056107274584,22.483998999999997,24862439424.0,9244005376.0,2.6895743146742195,Mid Cap,2.2,10.518,20.28,56.25,0,3,4,1,0,39.90976763020524,0.04595962518737812,26961300.0
USIM5,Usinas Siderúrgicas de Minas Gerais S.A.,Mineração e Siderurgia,stock,5539473920,https://icons.brapi.dev/icons/USIM5.svg,4.5,10.97561,0.22816002,,-48.90429268124707,1.9849999999999999,8470974976.0,1859559040.0,4.555367586500507,Small Cap,0.41,19.723,199.75,48.214285714285715,2,0,9,1,2,54.27661155543905,0.0026200270091893407,26570200.0
ITUB4,Itaú Unibanco Holding S.A.,Bancos,stock,395225432064,https://icons.brapi.dev/icons/ITUB4.svg,39.0,9.75,2.0166502,66.040003,144.28442809873437,20.809,1012388986880.0,,,Blue Chip,4.0,19.339,6.97,78.84615384615384,3,9,1,0,0,64.56460352572778,0.00872044697535529,25925100.0
VALE3,Vale S.A.,Mineração e Siderurgia,stock,247247650816,https://icons.brapi.dev/icons/VALE3.svg,57.92,8.9382715,1.1544287,67.95,65.35250850237809,12.837000000000002,110776999936.0,71611998208.0,1.5469055843720998,Blue Chip,6.48,50.172,47.67,72.91666666666666,3,5,4,0,0,77.42313975112664,0.09451881265837392,25374600.0
NATU3,Natura Cosméticos S.A.,Bens de Consumo,stock,13528808448,https://icons.brapi.dev/icons/BRAPI.svg,9.85,,0.9000366,,-73.27726473584619,2.1,6937277952.0,2364498944.0,2.9339315078163133,Mid Cap,-1.69,10.944,,58.92857142857143,1,3,10,0,0,55.87722453699366,0.29152776560598953,23382700.0
