ticker,valor_5anos,valor_12m
POMO3,1.515832,0.48
POMO4,1.540832,0.48
PORT3,3.074465,0.768753
POSI3,2.228784,0.273743
PRIO3,0.072644,0.0
PSSA3,5.782378,1.510064
PTBL3,1.6710610000000001,0.0
PTNT3,1.004439,0.0
PTNT4,1.004439,0.0
QUAL3,2.5310770000000002,0.005527
RADL3,1.3075899999999998,0.206596
RAIL3,0.988164,0.810438
RAIZ4,0.46940000000000004,0.0
RANI3,3.06217,0.688783
RAPT3,1.077529,0.0
RAPT4,2.5049140000000003,0.046745
RDNI3,0.21134699999999998,0.0
RDOR3,3.36524,0.384992
RECV3,5.416172,0.90014
REDE3,3.329524,0.5349999999999999
RENT3,5.799137,0.962579
ROMI3,3.3908460000000002,0.36
RSUL4,9.268644,2.245184
SANB11,9.695678000000001,1.340317
SANB3,4.616986,0.638246
SANB4,5.078686,0.702071
SAPR11,7.503398000000001,2.208365
SAPR3,1.389517,0.408957
SAPR4,1.528469,0.449852
SBFG3,0.9755590000000001,0.548366
SBSP3,7.787471999999999,3.730472
SCAR3,2.252305,0.0
SEER3,0.484712,0.154113
SHUL4,1.2303099999999998,0.253475
SIMH3,0.93397,0.07029
SLCE3,4.310902,0.546327
SMFT3,1.112607,0.133948
SMTO3,6.510291,0.456513
SOJA3,1.361153,0.148676
STBP3,4.236643,0.273286
SUZB3,5.716687,0.0
SYNE3,12.132973,0.458582
TAEE11,16.068751,2.290899
TAEE3,5.579966,0.763633
TAEE4,5.579966,0.763633
TASA3,3.20557,0.184258
TASA4,3.20557,0.184258
TECN3,0.550183,0.23879
TEND3,0.752554,0.407903
TFCO4,0.824118,0.146885
TGMA3,8.267529,1.94
TIMS3,4.4492460000000005,1.3886960000000002
TKNO4,26.522956999999998,4.146551
TOTS3,1.799558,0.29
TPIS3,0.5160480000000001,0.0
TRAD3,0.001421,0.0
TRIS3,1.096375,0.300639
TTEN3,0.438756,0.190632
TUPY3,3.689311,1.39228
UCAS3,0.777827,0.0
UGPA3,2.735753,0.750164
UNIP3,33.289735,5.453582
UNIP6,34.788155,5.998939999999999
USIM3,2.4196530000000003,0.0
USIM5,2.661621,0.0
VALE3,37.699772,4.037234
VAMO3,1.057021,0.0
VBBR3,6.112511,0.818392
VITT3,1.08314,0.156749
VIVA3,1.7790940000000002,0.660163
VIVT3,6.28889,1.2046670000000002
VLID3,4.863313,1.575509
VSTE3,0.164573,0.001387
VTRU3,0.021604,0.021604
VULC3,5.782443000000001,1.0
VVEO3,0.8173219999999999,0.0
WEGE3,2.958197,0.648868
WHRL3,1.8327,0.338667
WHRL4,2.016016,0.372534
WIZC3,2.138576,0.250319
WLMM4,3.530958,0.555523
YDUQ3,1.715425,0.570657
