ano,ticket,dividendo
2020,ELET6,1.787923
2020,EMAE4,1.444682
2020,ENGI11,0.6000000000000001
2020,ENGI3,0.11541399999999999
2020,ENGI4,0.12
2020,ENMT4,0.567615
2020,EQPA3,0.28
2020,EQTL3,0.317424
2020,EVEN3,0.144301
2020,EZTC3,0.294083
2020,FIEI3,4.13
2020,GEPA3,0.561242
2020,GEPA4,0.561242
2020,IGTI3,0.011378
2020,IRBR3,0.771892
2020,ISAE3,1.7395800000000001
2020,ISAE4,1.7395800000000001
2020,ITSA3,0.326131
2020,ITSA4,0.332955
2020,ITUB3,0.709141
2020,ITUB4,0.709141
2020,JHSF3,0.14590799999999998
2020,LOGG3,0.211742
2020,MOAR3,5.958588
2020,MOVI3,0.133723
2020,MULT3,0.605862
2020,NEOE3,0.408714
2020,PSSA3,1.070191
2020,RDNI3,0.009054
2020,REDE3,0.093
2020,RENT3,0.345117
2020,SANB11,2.805265
2020,SANB3,1.335839
2020,SANB4,1.4694239999999998
2020,SAPR11,1.0282179999999999
2020,SAPR3,0.19041
2020,SAPR4,0.209451
2020,SBSP3,1.3767
2020,SCAR3,0.063011
2020,SOND5,0.921123
2020,SOND6,0.921123
2020,SYNE3,0.932624
2020,TAEE11,3.031782
2020,TAEE3,1.010576
2020,TAEE4,1.010573
2020,TEND3,0.48324100000000003
2020,TIMS3,20.6542
2020,VIVT3,1.94483
2020,WIZC3,0.668806
2021,ABCB4,0.983183
2021,AGRO3,2.621181
2021,ALOS3,0.226403
2021,ALUP11,0.746757
2021,ALUP3,0.248919
2021,ALUP4,0.248919
2021,ARML3,0.067263
2021,B3SA3,0.719108
2021,BAZA3,2.575651
2021,BBAS3,1.1331339999999999
2021,BBDC3,0.840918
2021,BBDC4,0.925011
2021,BBSE3,0.996995
2021,BEES3,0.33257899999999996
2021,BEES4,0.33257899999999996
2021,BGIP4,1.218269
2021,BMEB3,0.590529
2021,BMEB4,0.649583
2021,BMGB4,0.314247
2021,BPAC11,0.393351
2021,BPAC3,0.130829
2021,BPAC5,0.131116
2021,BPAN4,0.22392800000000002
2021,BRAP3,9.113479
2021,BRAP4,10.024828
2021,BRSR3,1.032111
2021,BRSR6,1.032111
2021,BSLI3,0.4749
2021,CEBR3,18.963608
2021,CEBR5,18.963608
2021,CEBR6,20.85997
2021,CEEB3,3.512398
2021,CGAS5,13.406073000000001
2021,CLSC4,6.813834
2021,CMIG3,0.810095
2021,CMIG4,0.810095
2021,COCE5,3.616476
2021,CPFE3,3.701428
2021,CPLE3,0.6567449999999999
2021,CPLE5,1.195331
2021,CPLE6,1.201984
2021,CSAN3,0.6322669999999999
2021,CSMG3,0.944719
2021,CURY3,0.56531
2021,CXSE3,0.244612
2021,CYRE3,1.087273
2021,DIRR3,0.229052
2021,EGIE3,1.788284
2021,EKTR4,1.2513990000000002
2021,ELET3,2.3982590000000004
2021,ELET6,2.6380920000000003
2021,EMAE4,8.081884
2021,ENGI11,1.75
2021,ENGI3,0.336625
2021,ENGI4,0.35
2021,ENMT3,5.485946
2021,ENMT4,4.918331
2021,EQPA3,0.41000000000000003
2021,EQTL3,0.714276
2021,EVEN3,0.830794
2021,EZTC3,0.423955
2021,FIQE3,0.083323
2021,GEPA3,2.939902
2021,GEPA4,2.939902
2021,IGTI3,0.011378
2021,IRIM11,4.006067
2021,ISAE3,3.5888619999999998
2021,ISAE4,3.5888619999999998
2021,ITSA3,0.291198
2021,ITSA4,0.306884
2021,ITUB3,0.8242659999999999
2021,ITUB4,0.8242659999999999
2021,JHSF3,0.39383999999999997
2021,LAVV3,0.679883
2021,LIGT3,0.325845
2021,LOGG3,0.325427
2021,MELK3,0.283334
2021,MILS3,0.187363
2021,MOAR3,51.668310999999996
2021,MOVI3,0.520694
2021,MTRE3,0.5515289999999999
2021,MULT3,0.4989
2021,NEOE3,0.525667
2021,PLPL3,0.195832
2021,PRNR3,0.053947
2021,PSSA3,1.444678
2021,RDNI3,0.009985
2021,REDE3,0.977465
2021,RENT3,0.440462
2021,SANB11,2.835826
2021,SANB3,1.350391
2021,SANB4,1.485431
2021,SAPR11,0.9943519999999999
2021,SAPR3,0.184139
2021,SAPR4,0.202552
2021,SBSP3,0.3979
2021,SCAR3,0.366203
2021,SOND5,8.517645
2021,SOND6,8.517645
2021,SYNE3,8.267782
2021,TAEE11,4.5037009999999995
2021,TAEE3,1.5012320000000001
2021,TAEE4,1.5012320000000001
2021,TEND3,0.174028
2021,TIMS3,20.1463
2021,VAMO3,0.193446
2021,VIVT3,1.7313209999999999
2021,WIZC3,0.608872
2022,ABCB4,1.2547739999999998
2022,AGRO3,5.254966
2022,ALOS3,0.383932
2022,ALUP11,1.093466
2022,ALUP3,0.364489
2022,ALUP4,0.364489
2022,ARML3,0.406745
2022,AURE3,0.086049
2022,B3SA3,0.469106
2022,BAZA3,6.809764
2022,BBAS3,1.406884
2022,BBDC3,0.37944
2022,BBDC4,0.41738400000000003
2022,BBSE3,1.966093
2022,BEES3,0.584989
2022,BEES4,0.584989
2022,BGIP4,1.073062
2022,BMEB3,0.521025
2022,BMEB4,0.573148
2022,BMGB4,0.124707
2022,BPAC11,0.6566190000000001
2022,BPAC3,0.21887299999999998
2022,BPAC5,0.21887299999999998
2022,BPAN4,0.27863
2022,BRAP3,2.974148
2022,BRAP4,3.2715620000000003
2022,BRBI11,0.8836470000000001
2022,BRSR3,0.8448180000000001
2022,BRSR6,0.8448180000000001
2022,BSLI3,1.016285
2022,CEBR3,3.541792
2022,CEBR5,3.541792
2022,CEBR6,3.895972
2022,CEEB3,6.445661
2022,CGAS5,14.563600000000001
2022,CLSC4,2.798098
2022,CMIG3,1.966026
2022,CMIG4,1.506473
2022,COCE5,1.9434620000000002
2022,CPFE3,3.242281
2022,CPLE3,0.902585
2022,CPLE5,0.936976
2022,CPLE6,0.992572
2022,CSAN3,0.42811
2022,CSMG3,0.384332
2022,CURY3,0.51535
2022,CXSE3,0.64857
2022,CYRE3,0.564779
2022,DESK3,0.013908
2022,DIRR3,0.700435
2022,EGIE3,2.989438
2022,EKTR4,7.375133
2022,ELET3,0.773505
2022,ELET6,1.614105
2022,EMAE4,0.881294
2022,ENGI11,3.3600000000000003
2022,ENGI3,0.646319
2022,ENGI4,0.672
2022,ENMT3,3.539866
2022,ENMT4,3.539866
2022,EQPA3,0.88326
2022,EQTL3,0.634912
2022,EVEN3,0.150012
2022,EZTC3,0.7781
2022,FIQE3,0.084258
2022,GEPA3,1.339268
2022,GEPA4,1.339268
2022,IGTI11,0.34131
2022,IGTI3,0.048756
2022,IRIM11,15.844381
2022,ISAE3,1.062404
2022,ISAE4,1.062404
2022,ITSA3,0.523074
2022,ITSA4,0.523279
2022,ITUB3,0.925576
2022,ITUB4,0.925576
2022,JHSF3,0.208704
2022,LAND3,0.204923
2022,LAVV3,0.6035470000000001
2022,LIGT3,0.187404
2022,LOGG3,0.866635
2022,MELK3,0.209538
2022,MILS3,0.26227999999999996
2022,MOAR3,14.692412999999998
2022,MOVI3,0.8467
2022,MTRE3,0.32744399999999996
2022,MULT3,0.7168570000000001
2022,NEOE3,0.798654
2022,PLPL3,0.161174
